frame,person_id,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,label
1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.07150268554688,83.37210083007812,81.63078308105469,96.82524108886719,101.26435089111328,97.10734558105469,80.34126281738281,116.54937744140625,109.12731170654297,114.25320434570312,89.41923522949219,128.8521728515625,114.427490234375,127.02752685546875,92.10733032226562,130.66055297851562,105.07775115966797,131.6940460205078,97.49347686767578,155.55992126464844,110.73837280273438,156.48658752441406,97.07634735107422,180.99880981445312,111.3900375366211,182.80795288085938,0
1,1,120.37905883789062,68.73947143554688,120.92037200927734,66.76119995117188,0.0,0.0,123.8383560180664,66.7530517578125,0.0,0.0,131.80615234375,76.42373657226562,122.01296997070312,77.52558898925781,139.66455078125,91.75553894042969,124.05999755859375,92.49185180664062,134.59654235839844,101.39706420898438,124.21383666992188,102.58230590820312,134.8135986328125,106.72381591796875,128.6967010498047,107.29841613769531,135.2276153564453,128.43702697753906,132.25369262695312,129.35968017578125,138.7765655517578,149.65692138671875,136.55831909179688,150.17556762695312,0
2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.732421875,83.66705322265625,81.60047912597656,96.56275939941406,100.67874145507812,97.12178802490234,80.05741882324219,116.23577880859375,108.69488525390625,114.27644348144531,89.36384582519531,128.21322631835938,114.34437561035156,126.62036895751953,92.03086853027344,130.4567413330078,104.59214782714844,131.6405029296875,97.74909973144531,155.4786834716797,110.82771301269531,156.6259765625,97.1544189453125,180.91404724121094,111.57976531982422,183.02223205566406,0
2,1,120.04385375976562,68.72129821777344,0.0,0.0,0.0,0.0,123.37545013427734,66.70796203613281,0.0,0.0,131.20843505859375,76.31441497802734,122.74097442626953,77.46243286132812,139.10214233398438,91.59234619140625,125.41763305664062,92.53356170654297,134.45639038085938,101.43341827392578,125.4732894897461,102.45950317382812,134.44309997558594,106.59416198730469,129.2693328857422,107.19255828857422,134.49156188964844,128.37039184570312,132.91114807128906,129.3656768798828,137.84193420410156,149.67462158203125,137.3737335205078,150.29367065429688,0
3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.99906158447266,83.45384216308594,82.00867462158203,95.65220642089844,99.55074310302734,96.66915130615234,80.84352111816406,115.41625213623047,108.18972778320312,114.3006362915039,89.92508697509766,128.01588439941406,113.64667510986328,126.29685974121094,92.45944213867188,130.5761260986328,103.8258285522461,132.01321411132812,99.95608520507812,155.16390991210938,110.3371810913086,156.73971557617188,101.21137237548828,181.27706909179688,110.80125427246094,183.6078338623047,0
3,1,0.0,0.0,0.0,0.0,0.0,0.0,122.58686828613281,66.94831085205078,0.0,0.0,129.1374053955078,76.60688781738281,126.08931732177734,76.98712158203125,136.45571899414062,91.84220123291016,130.71035766601562,92.04283905029297,132.88409423828125,101.78826904296875,129.2129364013672,102.24073791503906,132.91688537597656,106.72254180908203,131.35877990722656,107.01616668701172,132.6979217529297,128.47677612304688,134.53753662109375,129.19406127929688,135.8563995361328,149.90426635742188,138.8775177001953,150.4591827392578,0
4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.24092864990234,83.38479614257812,81.77057647705078,95.82835388183594,100.27652740478516,96.76991271972656,79.24528503417969,115.47413635253906,108.40836334228516,114.25909423828125,89.23050689697266,126.73442840576172,113.3948974609375,125.40157318115234,92.58960723876953,131.13510131835938,104.83126831054688,132.34201049804688,100.42445373535156,154.7655487060547,111.59265899658203,156.36607360839844,99.8870849609375,179.56039428710938,111.85875701904297,183.31422424316406,0
4,1,120.08415222167969,68.84611511230469,120.89472961425781,66.7872314453125,0.0,0.0,124.313720703125,66.58267211914062,0.0,0.0,133.2717742919922,76.11296081542969,118.86454772949219,77.92628479003906,141.0926971435547,91.69878387451172,119.0670394897461,92.97991180419922,135.44117736816406,101.37797546386719,120.97708892822266,101.5438232421875,135.92144775390625,106.52179718017578,126.60908508300781,107.40503692626953,137.0735626220703,128.27452087402344,129.92242431640625,129.4402618408203,140.9358367919922,149.4200897216797,134.35121154785156,149.90028381347656,0
5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.67288970947266,83.70137786865234,82.38909912109375,96.14947509765625,100.51204681396484,97.08123016357422,79.36357116699219,115.65167999267578,107.97936248779297,114.49764251708984,89.34953308105469,127.01551055908203,113.64154052734375,125.48147583007812,92.64469909667969,130.9480743408203,104.615234375,132.17098999023438,100.58722686767578,154.3405303955078,111.39229583740234,156.20999145507812,99.9115982055664,179.12185668945312,111.80120086669922,183.6060791015625,0
5,1,0.0,0.0,0.0,0.0,0.0,0.0,122.45346069335938,66.91128540039062,0.0,0.0,129.68295288085938,76.51132202148438,125.17996215820312,77.26079559326172,137.6222686767578,91.52136993408203,129.6808319091797,92.1833267211914,133.7691192626953,101.39447784423828,128.88995361328125,102.12459564208984,133.4217071533203,106.66607666015625,130.94410705566406,107.10420989990234,132.9892578125,128.2272186279297,134.2485809326172,129.1642303466797,136.27835083007812,149.33047485351562,138.92828369140625,150.0197296142578,0
