frame,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,label
1,0.0,0.0,0.0,0.0,0.0,0.0,74.71919250488281,76.02597045898438,82.30216979980469,75.33490753173828,72.64347076416016,83.90924072265625,87.57300567626953,83.0865707397461,70.26996612548828,93.77767181396484,92.3787841796875,93.84873962402344,71.46439361572266,94.19084167480469,88.50077056884766,97.28022766113281,76.02822875976562,105.73379516601562,85.74873352050781,105.31338500976562,76.5926742553711,122.97904968261719,85.4392318725586,122.78108215332031,77.67992401123047,139.5474853515625,84.44293212890625,138.75311279296875,0
2,0.0,0.0,0.0,0.0,0.0,0.0,74.71849060058594,75.99830627441406,82.318603515625,75.31037139892578,72.61394500732422,83.90662384033203,87.53617095947266,83.10872650146484,70.20381164550781,93.79988861083984,92.24280548095703,93.97281646728516,71.46640014648438,94.36740112304688,88.4752426147461,97.62814331054688,76.0210189819336,105.76536560058594,85.73817443847656,105.3577880859375,76.57665252685547,123.0346450805664,85.4046401977539,122.84463500976562,77.63980865478516,139.6026611328125,84.39398193359375,138.82550048828125,0
3,0.0,0.0,0.0,0.0,0.0,0.0,74.65406799316406,76.01148986816406,82.26069641113281,75.30835723876953,72.62677001953125,83.94316101074219,87.58805084228516,83.1529312133789,70.14614868164062,93.84782409667969,92.37882995605469,94.16529083251953,71.22613525390625,94.58868408203125,88.61576843261719,98.22408294677734,76.04766845703125,105.84632110595703,85.76222229003906,105.42561340332031,76.6078872680664,123.12499237060547,85.38066101074219,122.92257690429688,77.74939727783203,139.71817016601562,84.38381958007812,138.90623474121094,0
4,0.0,0.0,0.0,0.0,0.0,0.0,74.62450408935547,76.09089660644531,82.24736022949219,75.38479614257812,72.5200424194336,84.0041732788086,87.60694122314453,83.21634674072266,69.89300537109375,93.91069030761719,92.3125,94.27075958251953,71.14348602294922,94.59217071533203,88.50049591064453,98.29984283447266,76.00287628173828,105.95906066894531,85.81665802001953,105.54269409179688,76.50965881347656,123.28994750976562,85.44381713867188,123.09405517578125,77.61268615722656,139.89968872070312,84.45941162109375,139.08432006835938,0
5,0.0,0.0,0.0,0.0,0.0,0.0,74.67233276367188,76.28250122070312,82.12523651123047,75.60781860351562,72.46077728271484,83.99095153808594,87.35142517089844,83.28433227539062,69.66992950439453,93.71942901611328,92.00448608398438,94.27337646484375,71.1207504272461,94.86444854736328,88.7826156616211,98.79627227783203,75.94852447509766,105.6673583984375,85.64595031738281,105.29975891113281,76.45263671875,122.88629913330078,85.4023666381836,122.71499633789062,77.48693084716797,139.43289184570312,84.54683685302734,138.66354370117188,0
6,0.0,0.0,0.0,0.0,0.0,0.0,74.72146606445312,76.31190490722656,82.23446655273438,75.67777252197266,72.21788787841797,84.00460052490234,87.29212188720703,83.19107055664062,69.59573364257812,93.75392150878906,92.27226257324219,93.44770050048828,71.22085571289062,94.49772644042969,89.1299819946289,96.46339416503906,75.76204681396484,105.62103271484375,85.61634826660156,105.2638168334961,76.31803894042969,122.8813705444336,85.63086700439453,122.7234878540039,77.20393371582031,139.30258178710938,84.73645782470703,138.626220703125,0
7,0.0,0.0,0.0,0.0,0.0,0.0,74.78536224365234,76.29222106933594,82.28682708740234,75.65821838378906,72.30793762207031,83.94683837890625,87.36751556396484,83.13955688476562,69.50865936279297,93.76718139648438,92.11247253417969,93.47821044921875,71.12451171875,94.4815673828125,88.9100570678711,96.41101837158203,75.79828643798828,105.50810241699219,85.6448974609375,105.15160369873047,76.37828826904297,122.79945373535156,85.6239242553711,122.65631103515625,77.28702545166016,139.3000030517578,84.71392059326172,138.60791015625,0
8,0.0,0.0,0.0,0.0,0.0,0.0,74.72169494628906,76.34939575195312,82.29092407226562,75.72405242919922,72.22802734375,83.95987701416016,87.3753662109375,83.18717193603516,69.48961639404297,93.6269760131836,92.09415435791016,93.46796417236328,71.29468536376953,93.9981460571289,88.69314575195312,96.19561004638672,75.73405456542969,105.55224609375,85.65714263916016,105.20974731445312,76.35313415527344,122.8290786743164,85.64463806152344,122.6939468383789,77.32371520996094,139.34738159179688,84.79618072509766,138.66195678710938,0
9,0.0,0.0,0.0,0.0,0.0,0.0,74.71114349365234,76.26792907714844,82.32069396972656,75.69598388671875,72.07130432128906,83.79508972167969,87.28714752197266,82.97627258300781,69.64237213134766,93.6385269165039,92.11013793945312,92.99897003173828,71.70346069335938,94.41915893554688,88.47785949707031,95.58059692382812,75.59656524658203,105.36737823486328,85.62078857421875,105.03382873535156,76.29358673095703,122.5925064086914,85.6645278930664,122.44563293457031,77.13549041748047,139.0093536376953,84.76739501953125,138.38034057617188,0
10,0.0,0.0,0.0,0.0,0.0,0.0,74.65589904785156,76.33618927001953,82.18573760986328,75.75605010986328,72.00828552246094,83.92102813720703,87.12580108642578,83.1314926147461,69.45480346679688,93.64043426513672,91.92289733886719,93.09174346923828,71.51231384277344,93.78941345214844,88.63768768310547,95.0011215209961,75.46038818359375,105.46650695800781,85.3995590209961,105.14956665039062,76.16439056396484,122.69950103759766,85.54918670654297,122.58422088623047,77.07879638671875,139.21385192871094,84.72059631347656,138.5940704345703,0
11,0.0,0.0,0.0,0.0,0.0,0.0,74.71217346191406,76.19685363769531,82.44984436035156,75.62196350097656,71.99870300292969,83.82270812988281,87.49461364746094,82.96549224853516,69.255859375,93.46820831298828,92.62773132324219,92.58073425292969,71.19674682617188,93.14778137207031,89.25239562988281,93.70346069335938,75.5075912475586,105.6441421508789,85.65745544433594,105.29560089111328,76.05616760253906,122.96188354492188,85.63236999511719,122.82679748535156,76.86907958984375,139.31661987304688,84.54664611816406,138.68357849121094,0
